40, 0.5, 2.6, 0.1, 0, 139, [1.00000165 2.99999907], 5.664674474626608e-12
40, 0.5, 2.6, 0.1, 1, 139, [1.00000018 3.0000002 ], 6.430890165036719e-13
40, 0.5, 2.6, 0.1, 2, 138, [1.0000009  2.99999931], 1.4732308873218616e-12
40, 0.5, 2.6, 0.1, 3, 135, [1.0000002  2.99999976], 1.0106377228715264e-13
40, 0.5, 2.6, 0.1, 4, 176, [1.0041534  2.99441921], 5.654579239687272e-05
40, 0.5, 2.6, 0.1, 5, 131, [0.99999988 3.00000026], 1.4952387098214564e-13
40, 0.5, 2.6, 0.1, 6, 139, [1.00003342 2.99996768], 2.166421552100462e-09
40, 0.5, 2.6, 0.1, 7, 138, [1.00000039 2.99999992], 5.442722755347222e-13
40, 0.5, 2.6, 0.1, 8, 136, [0.99999946 2.99999933], 6.578593940180254e-12
40, 0.5, 2.6, 0.1, 9, 176, [0.83828439 3.11391807], 0.04826768469145938
40, 0.5, 2.6, 0.1, 10, 135, [1.00000053 2.99999961], 5.009457299767067e-13
40, 0.5, 2.6, 0.1, 11, 134, [1.00000414 2.9999955 ], 3.7917386214354447e-11
40, 0.5, 2.6, 0.1, 12, 134, [1.00000192 2.99999798], 7.828913410263066e-12
40, 0.5, 2.6, 0.1, 13, 136, [1.00000277 2.99999484], 5.7139509438649475e-11
40, 0.5, 2.6, 0.1, 14, 152, [1.00020353 2.99974439], 1.176079461048727e-07
40, 0.5, 2.6, 0.1, 15, 141, [0.99999931 3.00000098], 1.7871251654833853e-12
40, 0.5, 2.6, 0.1, 16, 155, [0.99551431 3.00328419], 3.668166162738651e-05
40, 0.5, 2.6, 0.1, 17, 131, [1.00000247 2.99999346], 1.1532865134227022e-10
40, 0.5, 2.6, 0.1, 18, 138, [1.00000417 2.99999845], 4.72507616070689e-11
40, 0.5, 2.6, 0.1, 19, 140, [1.0000008  2.99999911], 1.4593796306995026e-12
40, 0.5, 2.6, 0.2, 0, 82, [1. 3.], 2.3554727596258873e-18
40, 0.5, 2.6, 0.2, 1, 91, [1. 3.], 3.766516589839795e-19
40, 0.5, 2.6, 0.2, 2, 89, [1. 3.], 3.674690468028909e-17
40, 0.5, 2.6, 0.2, 3, 87, [1. 3.], 1.5607492484271227e-17
40, 0.5, 2.6, 0.2, 4, 78, [0.99999999 3.00000001], 3.3593176493320754e-16
40, 0.5, 2.6, 0.2, 5, 79, [1. 3.], 7.676417461903947e-18
40, 0.5, 2.6, 0.2, 6, 79, [1.00000002 3.        ], 2.2337239080835512e-15
40, 0.5, 2.6, 0.2, 7, 78, [1.00000001 2.99999999], 2.1407880515943504e-16
40, 0.5, 2.6, 0.2, 8, 76, [0.99999995 3.00000007], 9.383213180675961e-15
40, 0.5, 2.6, 0.2, 9, 83, [0.91621541 3.1011491 ], 0.018457103172744797
40, 0.5, 2.6, 0.2, 10, 82, [0.99999998 3.00000002], 8.58014194191554e-16
40, 0.5, 2.6, 0.2, 11, 87, [1. 3.], 1.4688498610530104e-17
40, 0.5, 2.6, 0.2, 12, 82, [1.00000003 3.00000005], 3.0673624320181085e-14
40, 0.5, 2.6, 0.2, 13, 85, [1. 3.], 7.338179480289925e-18
40, 0.5, 2.6, 0.2, 14, 81, [1.38608509 2.63889382], 0.2819551515430533
40, 0.5, 2.6, 0.2, 15, 81, [1.0000006  2.99999937], 7.631588121852373e-13
40, 0.5, 2.6, 0.2, 16, 86, [0.94206276 3.05236481], 0.006223004603373107
40, 0.5, 2.6, 0.2, 17, 80, [0.99999922 3.00000075], 1.1662654761032078e-12
40, 0.5, 2.6, 0.2, 18, 81, [0.9008642  3.08799152], 0.018067194251706716
40, 0.5, 2.6, 0.2, 19, 85, [0.99462376 3.00424607], 5.204215488037411e-05
40, 0.5, 2.6, 0.3, 0, 85, [1. 3.], 2.2018786421952284e-17
40, 0.5, 2.6, 0.3, 1, 88, [1. 3.], 1.0603086392401868e-19
40, 0.5, 2.6, 0.3, 2, 93, [1. 3.], 9.863926954910732e-21
40, 0.5, 2.6, 0.3, 3, 98, [1. 3.], 5.006811404780859e-20
40, 0.5, 2.6, 0.3, 4, 82, [1.00000002 2.99999999], 5.542038866690864e-16
40, 0.5, 2.6, 0.3, 5, 93, [1. 3.], 1.0836066281778978e-18
40, 0.5, 2.6, 0.3, 6, 88, [1. 3.], 1.1718087468065402e-18
